median_age,life_expectancy,total_cases_per_million,gdp_per_capita,hospital_beds_per_thousand,people_fully_vaccinated_per_hundred,stringency_index,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America
16.75200080871582,65.61699676513672,5796.4683,1983.8126220703125,0.3499999940395355,45.270844,27.3945802919708,1.0,0.0,0.0,0.0,0.0
35.94300079345703,78.768798828125,119264.51,21641.07421875,2.900000095367432,45.24426,41.78210766423358,0.0,1.0,0.0,0.0,0.0
27.982999801635746,76.12889862060547,5990.669,15501.919921875,1.6100000143051147,14.251447,48.36772810218978,0.0,0.0,0.0,0.0,0.0
27.927000045776367,72.7520980834961,172831.6,18068.505859375,2.3799999952316284,62.44032,43.27303832116788,0.0,0.0,0.0,1.0,0.0
42.83200073242188,84.01640319824219,602280.44,65928.3046875,2.3799999952316284,67.10946,33.4867700729927,0.0,1.0,0.0,0.0,0.0
16.389999389648438,64.24549865722656,3016.3298,8901.8876953125,0.75,26.965265,51.621733576642335,0.0,0.0,0.0,0.0,0.0
37.77299880981445,79.11940002441406,274890.88,18068.505859375,2.3799999952316284,73.10238,43.27303832116788,0.0,0.0,1.0,0.0,0.0
35.071998596191406,77.4832992553711,98072.16,29371.638671875,3.4200000762939453,67.187935,43.27303832116788,0.0,0.0,1.0,0.0,0.0
31.73900032043457,75.80609893798828,222854.31,26771.96484375,3.359999895095825,76.860214,52.42909671532847,0.0,0.0,0.0,0.0,1.0
35.814998626708984,74.63330078125,157903.14,20078.78515625,4.239999771118164,35.779274,43.27303832116788,1.0,0.0,0.0,0.0,0.0
40.766998291015625,76.22579956054688,410271.62,44558.9296875,2.3799999952316284,78.26926,38.25028284671533,0.0,0.0,1.0,0.0,0.0
37.512001037597656,82.76619720458984,452699.0,60303.98046875,3.819999933242798,82.62102,47.19702554744526,0.0,0.0,0.0,1.0,0.0
42.83200073242188,81.2958984375,671153.44,63788.078125,6.699999809265137,73.72863,49.143120437956206,0.0,1.0,0.0,0.0,0.0
32.0620002746582,74.125,81251.586,22072.1484375,3.680000066757202,47.230198,59.99155109489052,1.0,0.0,0.0,0.0,0.0
34.23400115966797,74.49109649658203,98422.305,36244.05078125,2.1700000762939453,42.0011,52.295,0.0,0.0,1.0,0.0,0.0
31.683000564575195,80.99210357666016,454275.94,58891.83203125,1.840000033378601,80.00182,37.79302919708029,1.0,0.0,0.0,0.0,0.0
24.989999771118164,74.26470184326172,12116.075,8486.78515625,0.9200000166893004,83.95181,49.97339416058394,1.0,0.0,0.0,0.0,0.0
38.652000427246094,75.67610168457031,386584.22,21837.724609375,6.400000095367432,54.91811,47.84323905109489,0.0,0.0,1.0,0.0,0.0
40.19200134277344,74.36119842529297,108369.78,29040.97265625,9.770000457763672,69.931625,23.35875912408759,0.0,1.0,0.0,0.0,0.0
41.1510009765625,81.15889739990234,421601.22,63347.78515625,5.420000076293945,78.77591,39.04728102189781,0.0,1.0,0.0,0.0,0.0
25.520999908447266,72.19039916992188,177516.08,12621.408203125,1.0,54.992664,48.01630474452555,0.0,0.0,1.0,0.0,0.0
17.645999908447266,60.47510147094727,2037.573,3901.325927734375,0.4300000071525574,19.934122,32.174443430656936,0.0,0.0,0.0,0.0,0.0
44.70299911499024,82.06159973144531,291175.2,109311.9375,2.3799999952316284,73.576546,39.40254562043796,0.0,0.0,1.0,0.0,0.0
28.809999465942383,72.75399780273438,80615.07,14610.2958984375,2.1600000858306885,86.778175,50.683649635036495,1.0,0.0,0.0,0.0,0.0
24.39200019836425,67.43419647216797,100370.07,11329.1513671875,1.4900000095367432,51.01023,42.2929197080292,0.0,0.0,0.0,0.0,1.0
39.77299880981445,78.15450286865234,416067.56,18068.505859375,2.3799999952316284,58.407204,43.27303832116788,0.0,0.0,1.0,0.0,0.0
44.55899810791016,76.7771987915039,126151.01,20527.693359375,2.3499999046325684,26.400383,38.6827098540146,0.0,1.0,0.0,0.0,0.0
22.60400009155273,68.74870300292969,135538.2,18068.505859375,2.359999895095825,68.17876,36.4909306569343,0.0,0.0,0.0,0.0,0.0
33.50600051879883,74.87190246582031,180805.06,19652.365234375,2.5199999809265137,83.76549,48.54258211678832,0.0,0.0,0.0,0.0,1.0
37.119998931884766,77.177001953125,199786.16,18068.505859375,2.3799999952316284,47.621655,43.27303832116788,0.0,0.0,1.0,0.0,0.0
31.275999069213867,72.91709899902344,769806.8,79071.734375,3.5799999237060547,98.09827,39.496021897810216,1.0,0.0,0.0,0.0,0.0
44.15399932861328,74.0342025756836,196472.47,34221.53125,8.199999809265137,30.443129,36.167572992700734,0.0,1.0,0.0,0.0,0.0
17.041000366210938,60.70000076293945,987.6477,2547.67236328125,0.2000000029802322,23.245539,20.494908759124087,0.0,0.0,0.0,0.0,0.0
15.67199993133545,62.88190078735352,4096.433,1051.25927734375,0.6899999976158142,0.27265763,15.849945255474454,0.0,0.0,0.0,0.0,0.0
25.59600067138672,70.52799987792969,8099.5386,7008.88916015625,0.7300000190734863,85.417465,45.121569343065694,1.0,0.0,0.0,0.0,0.0
17.62299919128418,62.44279861450195,4535.376,4916.93359375,2.650000095367432,11.570632,31.54181569343066,0.0,0.0,0.0,0.0,0.0
40.25299835205078,81.24929809570312,124134.44,56706.82421875,2.539999961853028,81.80634,50.31122262773722,0.0,0.0,1.0,0.0,0.0
