Dataset,Purpose
Our World in Data (OWID) COVID-19 Dataset,"COVID-19 cases, deaths, vaccinations, and demographic variables"
World Bank Open Data,Economic and healthcare indicators
Oxford COVID-19 Government Response Tracker,Government response stringency index
