feature,importance
Cases per Million,0.22961888756242277
Europe,0.1844797250742912
Median Age,0.14100401296607107
"Hospital Beds per 1,000",0.09676982209534182
Life Expectancy (years),0.08818446877541312
Fully Vaccinated (%),0.081193790541888
Government Stringency Index,0.055902578438375386
South America,0.052523820931749066
GDP per Capita (USD),0.046250881187426866
Asia,0.010903916873179207
North America,0.00997293325480248
Oceania,0.0031951622990390367
